MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,ZCR
-543.8038330078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06298828125
-543.8038330078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08837890625
-527.5762329101562,22.011383056640625,19.457866668701172,15.954992294311523,12.289080619812012,9.057830810546875,6.490146636962891,4.469780445098877,2.7240164279937744,1.0544499158859253,-0.5235378742218018,-1.80061936378479,-2.5225560665130615,0.09814453125
-495.3061828613281,58.96925354003906,37.54509353637695,18.382856369018555,8.283535957336426,4.0869951248168945,1.3227770328521729,0.04623238742351532,1.3121696710586548,2.831477642059326,1.6668720245361328,-1.061518907546997,-1.7770434617996216,0.10986328125
-408.16949462890625,111.78421020507812,11.99981689453125,-2.7714052200317383,6.596970558166504,9.479207992553711,-10.755467414855957,-18.376197814941406,5.31490421295166,9.221317291259766,1.4723026752471924,-0.009280264377593994,-5.631077766418457,0.080078125
-340.979248046875,103.5863265991211,3.136352062225342,8.21596622467041,6.0591888427734375,7.9507551193237305,-3.8934779167175293,-12.578906059265137,-1.7941672801971436,5.936493873596191,0.667852520942688,-0.7282116413116455,-3.4648561477661133,0.0849609375
-309.9239196777344,70.33885192871094,17.49502182006836,19.19911003112793,2.4738059043884277,18.00440788269043,-17.768951416015625,1.3059207201004028,-11.6671142578125,-0.661452054977417,0.7407306432723999,-11.555020332336426,6.816707611083984,0.12353515625
-297.8175048828125,36.98919677734375,36.42201232910156,23.015356063842773,-4.740036487579346,26.788618087768555,-28.512332916259766,7.5931782722473145,-11.711328506469727,-2.0122125148773193,6.4724884033203125,-20.7601318359375,12.808342933654785,0.14697265625
-317.5447998046875,35.87076950073242,34.14949035644531,18.982845306396484,-5.476414680480957,30.160877227783203,-19.697296142578125,15.294472694396973,-10.10464859008789,-0.41474151611328125,7.886806964874268,-17.598182678222656,11.531314849853516,0.130859375
-369.4470520019531,79.7679443359375,21.89443588256836,18.12256622314453,5.900722503662109,14.452850341796875,-6.195533752441406,7.999940395355225,-5.61099100112915,1.347594976425171,-0.662524938583374,-5.879511833190918,1.876589298248291,0.13916015625
